size,num_procs,sequential_time,parallel_time,speedup,efficiency
512,1,0.7400859333186721,0.9062658332986757,0.8166322795430421,0.8166322795430421
512,2,0.7400859333186721,0.5304488333252569,1.3952070149334674,0.6976035074667337
512,4,0.7400859333186721,0.3633520999768128,2.036828556559603,0.5092071391399008
512,8,0.7400859333186721,0.32626616667645675,2.268350227232055,0.28354377840400685
1024,1,2.941026600000138,3.2728242666926235,0.8986203842139724,0.8986203842139724
1024,2,2.941026600000138,1.6970970666734502,1.7329748885636609,0.8664874442818304
1024,4,2.941026600000138,0.9375463666704794,3.1369398939112143,0.7842349734778036
1024,8,2.941026600000138,0.6541039999962474,4.496267566039974,0.5620334457549967
2048,1,11.775425499964816,12.233871099965958,0.9625265301346507,0.9625265301346507
2048,2,11.775425499964816,6.167384366660069,1.9093062471703492,0.9546531235851746
2048,4,11.775425499964816,3.321302766678855,3.545423686784112,0.886355921696028
2048,8,11.775425499964816,2.084193433324496,5.649871701774744,0.706233962721843
